ASRIS_ID,UpperDepth,LowerDepth,PH,2_5Percentile,97.5Percentile
402^AZ_SL^ACH_AuC1,0,12,4.8,4.5,5.1
402^AZ_SL^ACH_AuC1,12,32,4.8,4.4,5.2
402^AZ_SL^ACH_AuC1,32,48,4.9,4.3,5.5
402^AZ_SL^ACH_AuC1,48,75,5.8,5.0,6.6
402^AZ_SL^ACH_AuD1,0,9,4.8,4.5,5.1
402^AZ_SL^ACH_AuD1,9,23,5.8,5.5,6.1
402^AZ_SL^ACH_AuD1,23,32,6.6,6.3,6.9
402^AZ_SL^ACH_AuD1,32,55,6.7,6.4,7.0
402^AZ_SL^ACH_AwC1,0,12,5.5,5.2,5.9
402^AZ_SL^ACH_AwC1,12,32,5.2,4.9,5.7
402^AZ_SL^ACH_AwC1,32,51,4.7,4.4,5.5
402^AZ_SL^ACH_AwC1,51,70,4.1,3.9,5.2
402^AZ_SL^ACH_AwC1,70,118,4.0,3.8,5.6
402^AZ_SL^ACH_CaD1,0,12,5.3,5.0,5.6
402^AZ_SL^ACH_CaD1,12,32,5.1,4.6,5.6
402^AZ_SL^ACH_CaD1,32,55,4.7,3.7,5.7
402^AZ_SL^ACH_CaD1,55,78,5.5,5.0,6.0
402^AZ_SL^ACH_CaD1,78,142,5.3,5.2,5.4
