Id,UpperDepth,LowerDepth,Value,Lambda,tsme
272,0,5,9.0069343325174,0.1,0.0463502507647832
272,5,15,8.23639597267927,0.1,0.0463502507647832
272,15,30,8.33380498441955,0.1,0.0463502507647832
272,30,60,13.6718466431568,0.1,0.0463502507647832
272,60,100,14.368794405049,0.1,0.0463502507647832
272,100,200,-9999,0.1,0.0463502507647832
274,0,5,7.16202174190791,0.1,0.0289990177321832
274,5,15,8.82793851991923,0.1,0.0289990177321832
274,15,30,9.03309505164632,0.1,0.0289990177321832
274,30,60,10.8739610985683,0.1,0.0289990177321832
274,60,100,11.2538134726303,0.1,0.0289990177321832
274,100,200,-9999,0.1,0.0289990177321832
1161,0,5,30.76953125,0.1,0.0469360351562485
1161,5,15,35.4892578125,0.1,0.0469360351562485
1161,15,30,47.380859375,0.1,0.0469360351562485
1161,30,60,-9999,0.1,0.0469360351562485
1161,60,100,-9999,0.1,0.0469360351562485
1161,100,200,-9999,0.1,0.0469360351562485
1162,0,5,30.470703125,0.1,0.190444946289056
1162,5,15,40.17236328125,0.1,0.190444946289056
1162,15,30,64.6162109375,0.1,0.190444946289056
1162,30,60,-9999,0.1,0.190444946289056
1162,60,100,-9999,0.1,0.190444946289056
1162,100,200,-9999,0.1,0.190444946289056
1163,0,5,31.7109887818328,0.1,0.0154364930307087
1163,5,15,33.2032870910231,0.1,0.0154364930307087
1163,15,30,37.2115392635852,0.1,0.0154364930307087
1163,30,60,39.016050552479,0.1,0.0154364930307087
1163,60,100,41.492505822848,0.1,0.0154364930307087
1163,100,200,45.2923755265292,0.1,0.0154364930307087
1164,0,5,45.5079738164836,0.1,0.0363136234279951
1164,5,15,48.0485320909863,0.1,0.0363136234279951
1164,15,30,54.4253666822937,0.1,0.0363136234279951
1164,30,60,56.2244445164194,0.1,0.0363136234279951
1164,60,100,56.7341249075803,0.1,0.0363136234279951
1164,100,200,57.0079337202825,0.1,0.0363136234279951
1165,0,5,38.3642353978149,0.1,0.0340718070757144
1165,5,15,41.0314665804195,0.1,0.0340718070757144
1165,15,30,47.5491111095315,0.1,0.0340718070757144
1165,30,60,46.0489618356424,0.1,0.0340718070757144
1165,60,100,-9999,0.1,0.0340718070757144
1165,100,200,-9999,0.1,0.0340718070757144
1166,0,5,33.8508351044799,0.1,0.335851741379941
1166,5,15,42.8672534552166,0.1,0.335851741379941
1166,15,30,65.0357250327573,0.1,0.335851741379941
1166,30,60,62.5513206000336,0.1,0.335851741379941
1166,60,100,-9999,0.1,0.335851741379941
1166,100,200,-9999,0.1,0.335851741379941
1167,0,5,35.453125,0.1,0.0112304687499993
1167,5,15,37.55078125,0.1,0.0112304687499993
1167,15,30,42.8359375,0.1,0.0112304687499993
1167,30,60,-9999,0.1,0.0112304687499993
1167,60,100,-9999,0.1,0.0112304687499993
1167,100,200,-9999,0.1,0.0112304687499993
1168,0,5,27.0610444214117,0.1,0.165224684573402
1168,5,15,31.909305437776,0.1,0.165224684573402
1168,15,30,44.010554164629,0.1,0.165224684573402
1168,30,60,46.1423837635964,0.1,0.165224684573402
1168,60,100,47.5264287665475,0.1,0.165224684573402
1168,100,200,60.0932188943876,0.1,0.165224684573402
1169,0,5,17.7131338632076,0.1,0.0311173310225087
1169,5,15,19.0411262378415,0.1,0.0311173310225087
